ID	Emisor
1	Gobierno de USA
2	Gobierno de México
3	Gobierno de Chile
4	Gobierno de Uruguay
5	Gobierno de Colombia
6	Gobierno de Costa Rica
7	Barclays PLC
8	Banistmo de Panamá
9	Multibank de Panamá
10	Banco General de Panamá
11	Goldman Sachs
12	BNP Paribas
13	Citibank
14	BICSA
15	Bank of New York Mellon
16	BBVA
17	Banco Santander
18	Bank of America
19	JP Morgan
20	Caixa Bank
21	Banco Nacional de Costa Rica
22	Banco Popular de Costa Rica
23	Banco de Costa Rica
24	BAC San José
25	Prival Bank
26	Banco Promérica
27	Banco Scotiabank
28	Davivienda
29	Banco BCT
30	Costa Rica Financiera Monge
31	Costa Rica MUCAP
32	Costa Rica Mutual Alajuela
33	Costa Rica BANHVI
34	Banco de Desarrollo de América Latina (CAF)
35	Costa Rica RECOPE
36	Costa Rica LA NACION
37	Costa Rica FIFCO
38	Instituto Costarricense de Electricidad (ICE)
39	Costa Rica Improsa
40	Costa Rica BCR SAFI
